id,x_coordinate,y_coordinate,description
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,342.0,260.0,5.0
6,342.0,258.0,6.0
7,342.0,258.0,7.0
8,342.0,258.0,8.0
9,344.0,260.0,9.0
10,342.0,258.0,10.0
11,350.0,256.0,11.0
12,360.0,254.0,12.0
13,374.0,252.0,13.0
14,384.0,248.0,14.0
15,396.0,248.0,15.0
16,408.0,242.0,16.0
17,418.0,240.0,17.0
18,432.0,238.0,18.0
19,442.0,238.0,19.0
20,448.0,234.0,20.0
21,442.0,236.0,21.0
22,438.0,234.0,22.0
23,418.0,236.0,23.0
24,400.0,234.0,24.0
25,374.0,242.0,25.0
26,336.0,246.0,26.0
27,296.0,260.0,27.0
28,260.0,270.0,28.0
29,240.0,280.0,29.0
30,220.0,286.0,30.0
31,202.0,300.0,31.0
32,184.0,308.0,32.0
33,190.0,314.0,33.0
34,176.0,330.0,34.0
35,176.0,330.0,35.0
36,176.0,330.0,36.0
37,176.0,330.0,37.0
38,176.0,330.0,38.0
39,176.0,330.0,39.0
40,156.0,312.0,40.0
41,166.0,288.0,41.0
42,172.0,278.0,42.0
43,200.0,264.0,43.0
44,218.0,250.0,44.0
45,260.0,242.0,45.0
46,308.0,236.0,46.0
47,340.0,234.0,47.0
48,378.0,230.0,48.0
49,406.0,226.0,49.0
50,434.0,216.0,50.0
51,448.0,210.0,51.0
52,464.0,200.0,52.0
53,468.0,190.0,53.0
54,468.0,186.0,54.0
55,462.0,196.0,55.0
56,454.0,218.0,56.0
57,444.0,224.0,57.0
58,428.0,226.0,58.0
59,412.0,224.0,59.0
60,392.0,226.0,60.0
61,362.0,224.0,61.0
62,344.0,222.0,62.0
63,324.0,220.0,63.0
64,302.0,222.0,64.0
65,280.0,222.0,65.0
66,256.0,224.0,66.0
67,228.0,234.0,67.0
68,206.0,238.0,68.0
69,192.0,246.0,69.0
70,186.0,248.0,70.0
71,174.0,260.0,71.0
72,174.0,260.0,72.0
73,174.0,260.0,73.0
74,174.0,260.0,74.0
75,174.0,260.0,75.0
76,174.0,260.0,76.0
77,138.0,390.0,77.0
78,138.0,390.0,78.0
79,284.0,326.0,79.0
80,308.0,322.0,80.0
81,320.0,322.0,81.0
82,336.0,326.0,82.0
83,348.0,328.0,83.0
84,362.0,324.0,84.0
85,362.0,324.0,85.0
86,368.0,326.0,86.0
87,370.0,330.0,87.0
88,376.0,330.0,88.0
89,388.0,328.0,89.0
90,406.0,326.0,90.0
91,412.0,326.0,91.0
92,422.0,314.0,92.0
93,434.0,302.0,93.0
94,442.0,282.0,94.0
95,444.0,258.0,95.0
96,452.0,236.0,96.0
97,464.0,214.0,97.0
98,468.0,206.0,98.0
99,472.0,190.0,99.0
100,470.0,182.0,100.0
101,450.0,180.0,101.0
102,420.0,176.0,102.0
103,376.0,174.0,103.0
104,330.0,172.0,104.0
105,286.0,184.0,105.0
106,254.0,184.0,106.0
107,210.0,196.0,107.0
108,182.0,200.0,108.0
109,164.0,208.0,109.0
110,144.0,216.0,110.0
111,142.0,236.0,111.0
112,148.0,260.0,112.0
113,158.0,294.0,113.0
114,174.0,322.0,114.0
115,188.0,334.0,115.0
